Bytes,Samples,Max,Min,Mean,Median,Stdev,Mean jitter,Max jitter,90%,99%,99.99%
16,10000,122.599,7.029,8.272,7.486,2.367,0.534,109.092,10.607,14.735,58.631
32,10000,133.707,6.973,11.173,7.486,11.375,0.492,50.229,18.027,55.018,133.331
64,10000,134.107,7.178,11.188,7.512,11.277,0.495,49.295,18.131,54.938,133.643
128,10000,133.879,7.279,11.251,7.575,11.206,0.539,49.544,18.209,55.170,132.734
256,10000,134.689,7.383,11.699,8.339,11.452,0.672,60.498,15.750,55.343,133.461
512,10000,139.304,7.387,11.461,7.720,11.429,0.543,50.144,18.135,55.725,133.984
1024,10000,133.863,7.438,11.465,7.780,11.453,0.609,59.554,18.530,57.212,133.667
2048,10000,134.771,7.740,11.596,8.025,11.255,0.591,49.873,14.361,56.739,134.634
4096,10000,135.640,8.201,12.275,8.499,11.732,0.517,51.066,18.994,58.533,135.537
8192,10000,144.613,9.173,13.917,10.168,12.391,0.868,81.171,19.846,61.167,140.352
16384,10000,148.989,11.496,16.457,12.428,13.518,0.805,46.053,20.466,70.563,146.455
